price|department_no|name|sku|api_row_total|coupon_amount|qty|weight|department_tax|product_upc|CouponCategoryId|coupon_promo_code|coupon_title
6.19|13|Best Choice Large Eggs 18 pack|7003837286|6.19|0|1|0.0|9.5||0||
1.79|22|Diet Coke Soda 2 L|4900005011|14.32|0|8|0.0|9.5||0||
3.99|30|Best Choice FRZR POP MOD|7003861881|3.99|0|1|0.0|9.5||0||
6.59|30|POTATOES, 10LB RUSSET|7003858505|6.59|0|1|0.0|9.5||0||
2.99|40|80% LEAN  GROUND CHUCK 10# TUBE|20114700000|29.9|0|10|0.05|9.5||0||
1.99|41|FP BONE IN PORK STEAK|20201200000|3.98|0|2|0.0|9.5||0||
6.89|42|Gold Leaf Fresh Chicken Leg Quarters, 10 lb.|7562065074|6.89|0|1|0.0|9.5||0||
1.99|30|2LB WHOLE CARROTS|3338366401|1.99|0|1|0.0|9.5||0||
6.76|30|ONIONS, YELLOW|4166|2.96|0|3|1.75|9.5||0||
3.29|10|AL SAVE APPLE JELLY|7003832080|3.29|0|1|0.0|9.5||0||
6.79|10|AL SAVE PNT BTR CRMY|7003838028|6.79|0|1|0.0|9.5||0||
3.99|10|Malt-O-Meal Fruity Dyno-Bites Cereal 35 oz. Bag|4240031864|3.99|0|1|0.0|9.5||0||
5.99|10|Malt-O-Meal Chocolatey Chip Cookie Bites Cereal 21 oz. ZIP-PAK|4240029324|5.99|0|1|0.0|9.5||0||
4.95|11|Best Choice Extra Soft Double Roll Bath Tissue 6-Roll 6 rl|7003865302|4.95|0|1|0.0|9.5||0||
