"initial_token","order_id","order_delivery_id","store_location_code","store_zip_code","transaction_date_pt","transaction_date_time_pt","transaction_amt","approval_code","stan"
"","7484788355130038","7484788354730020","41","11101","2022-05-16","2022-05-16 01:15:26","92.36","798997","812325"
"","7485222855035515","7485222854735294","41","11101","2022-05-16","2022-05-16 02:32:53","260.52","211610","915447"
"","7485418536234873","7485418535934153","41","11101","2022-05-16","2022-05-16 02:52:20","42.24","490166","916718"
"","7483564124635891","7483564124435593","41","11101","2022-05-16","2022-05-16 03:02:47","101.09","410790","17498"
"","7482556329235707","7482556328935192","41","11101","2022-05-16","2022-05-16 03:04:44","100.94","300906","17737"
"","7483393773030663","7483393772830524","41","11101","2022-05-16","2022-05-16 03:25:10","110.93","466700","19783"
"","7485719840535160","7485719840235948","41","11101","2022-05-16","2022-05-16 03:27:01","37.96","521410","20017"
"","7483758445335978","7483758445135694","41","11101","2022-05-16","2022-05-16 03:27:31","18.45","781686","20040"
"","7485907884330797","7485907884030804","41","11101","2022-05-16","2022-05-16 03:29:02","105.79","469990","20270"
"","7482852858535537","7482852858135115","41","11101","2022-05-16","2022-05-16 03:55:02","58.87","403873","24623"
"","7482906944832751","7482906944532763","41","11101","2022-05-16","2022-05-16 03:57:39","93.88","540993","24918"
"","7483059717335210","7483059717135839","41","11101","2022-05-16","2022-05-16 03:58:41","84.96","569342","25131"
"","7480236027632622","7480236027332099","41","11101","2022-05-16","2022-05-16 04:00:11","58.50","993579","125379"
"","7482888318431844","7482888318031053","41","11101","2022-05-16","2022-05-16 04:01:05","25.18","505462","125441"
"","7486100010531089","7486100010231546","41","11101","2022-05-16","2022-05-16 04:02:43","64.48","398165","125701"
"","7485956249233791","7485956248933480","41","11101","2022-05-16","2022-05-16 04:22:10","62.15","644408","129778"
"","7485948411332325","7485948411132554","41","11101","2022-05-16","2022-05-16 04:29:15","44.37","121594","131525"
"","7477850905233907","7477850904833598","50","07047","2022-05-16","2022-05-16 04:32:34","26.97","740068","108257"
"","7485669368934247","7485669368634533","41","11101","2022-05-16","2022-05-16 04:32:55","35.58","945028","108293"
"","7486198100830831","7486198100430858","41","11101","2022-05-16","2022-05-16 04:33:09","21.42","998897","108736"
